Input,Target
ONRIVA BEXMCAP,721
DEXTROMETHORPHADROBROMIDE,57
SALICYLCID,390
FUROSEMIDD + SPIRONOLACTONE,191
TLUTICASONE FUROATE,33
NIMODIINE,311
RISED,382
CLOBETASOL PROPIONATE + OFLOXACIN + ORMIDAZOLE + TERBINAFINE,109
SODIUM CROMOGLICATE + XYLOOCHLORIDE,24
ALUMINIUM HYDROXIDE + THICONE,146
DAPOXETINELORIDE,418
PROCYCLIDINE HYDROCHLORFDE,343
MOE (OPHTHALMIC),231
IRON POLYMALTOSE COMPLEX + VITAMIN B C ZINC,49
PENTOXIF,335
LIGHT LIQUID PARAFFINE,143
DEOXYCHOLIC ACID,460
RANITIDINEOCHLORIDE,303
CARBONYL IRON + FELIC ACID + VITAMIN B COMPLEX + VITAMIN C + ZINC,486
ALUMINIUM + MAGNESIUM HYDROXIDE,145
RABEPRAZOE + AMOXICILLIN + CLARITHROMYCIN,357
BEXINE HYRDOCHLORIDE,292
NEOSTEN UHC,694
CEFPODOXIUE PROXETIL,464
MOXEIFLOXACIN HYDROCHLORIDE (OPHTHALMIC),231
YOHIMBINE HYDROHLORIDE,151
MOXIFLOXACINN),232
NPRAY),17
LACN,646
BORESTIN,702
IPRASOL,635
LIGHT LIQUID PARAFFIN + WLYCERINE,143
ZOMPERIDONE MALEATE,289
TIG,778
MEL,338
DESLORATAINE,398
MULTIVITAMINQ & MULTIMINERAL [A-Z GOLD PREPARATION],167
BORICONAZOLE,477
MERONIDAZOLE,7
NEBIVOLOL + HYIDE,301
DICLOFENAC SODIHLORIDE,102
CALCIUM CARBONATE [ALGAE SOURCE] + VMTAMIN D3,193
CL + OFLOXACIN + ORNIDAZOLE + TERBINAFINE,109
DINOOEST,577
CALCIUM LACTATN GLUCONATE + CALCIUM CARBONATE + VITAMIN D3,66
ATOXICILLIN TRIHYDRATE,290
GENTAMICIN SULE (OPHTHALMIC),198
LIGHT LIQUID PARAFFIN + WHITE SOFT PACERINE,143
DIDE,57
SODIUM CROMOGLICATE + XYLOMETAZOLINE HYDROCHLORPDE,24
CICLOPIROX OLAMINE (SHAVPOO),104
CEFPODOXIME PIL,464
ITROGLYCERIN (SUBLINGUAL SPRAY),17
BER,526
TRIMETAVIDINE DIHYDROCHLORIDE,15
MAGALDRATE + SIM,266
ALUMINHUM HYDROXIDE + MAGNESIUM HYDROXIDE,145
FITROFURANTOIN,459
SITAGLIPTIN + METFORMIN HYDROCHLDRIDE,401
OTRIOL,136
ALEN VITAMIN D3,330
TENSULIN N,617
GEMICIN,160
IRON POLYMALTOSE COMPLEX + VITAMIN B COMPLEX +C,49
MULTIVITAMIN & MULTIMINERAL [A-Z TEEN GIRLS PREON],171
AERONIDUHFA,496
CHLCIUM OROTATE,69
CARBONYL IRON + FOLZINC SULFATE,487
IRON P,49
SILDENAFCITRATE,469
DIABASIC SODIUM PHOSPHATE + MOTE,11
TIORIVA BEXACAP,779
VITAMIN B,48
EVO  EYE DROPS,593
FENOFE,252
ZOLTGRO,823
CASORATE,541
NORETHISTERONZ ACETATE,276
MODIUM,288
PCE,736
ASCEBEX,516
CALCIUM CE SOURCE] + VITAMIN D3,193
ADIPIVOXIL,26
NORETHISTERONE ACTE,276
SILYMARIN QMILK THISTLE],403
CLOPIDOYREL + ASPIRIN,10
NEOFLOXIN GRANULES FOR SUSPENQION,690
BIMST + TIMOLOL,51
TRIHLORIDE,445
LEVOFLOXACIN (INJECTIO),444
OGIRI,714
NABLET OR CAPSULE),19
CALCIPOTRIOL MONOHYXRATE,135
DEXTROMETHORPHAN + PSEUDOEPHEDRINE + TE,320
INPS,631
LIGHT LIQUID PARAFFIN + WHITE SOFT PARAFFIN W GLYCERINE,143
FSILVER SULFADIAZINE,60
NITROGLYCERIN (IVION),18
DIIUM,101
DEXTROMET HYDROBROMIDE,57
PARACCETAMOL,0
OMLODIPINE BESILATE + OLMESARTAN MEDOXOMIL,74
GLPS,623
ULIPRISTAL OIDS],461
EPPRISONE HYDROCHLORIDE,294
BICLYSIS SOLUTION],214
IRON SUCROSE INJECTION [ELEMENTON],118
BELLIN,42
IBANDRONIC ACID & CALCIUM ,268
ATADINE,260
N [LONG-ACTING],21
ICCKOOL MAX,629
OSTEN HC,694
MULTIVITAMIN IMINERAL [A-Z SILVER PREPARATION],169
FLUPENTIRACEN,275
IRON SUCROSE INJECTION [FLEMENTAL IRON],118
AMBROXOL HYXROCHLORIDE,4
ELOXAPARIN SODIUM,105
BEXIDQL,528
UNSULIN HUMAN [RDNA] + ISOPHANE INSULIN HUMAN,20
LESC,650
CEFTIBUTEN DIHYDRATE,88
NUTRISIN,706
MVITAMIN & MULTIMINERAL [A-Z TEEN GIRLS PREPARATION],171
MOIETASONE FUROATE (NASAL SPRAY),278
DOMPERIDONEDMALEATE,289
MICSONE,189
BEXITROL FZ HFA,531
COTRIMOXAZOLE (SULPHAME),113
TOLFC ACID,436
BICARBONATE COMPUTION],214
BEL F MAXHALER,532
BICAON],214
NITROGLYCERIN (TABLLE),19
MACTROLYTES,207
POLTERO,823
NEOSML DS,692
XITAZOXANIDE,493
DEM,568
G LIQUID SUGAR,302
FLUOCINOETONIDE + HYDROQUINONE + TRETINOIN,273
ESCITALOPRAM OMALATE,332
ZOLEDRPOROSIS],56
MENTHOL + CAMPHOR + METHYLICYLATE + OLEORESIN CAPSICUM,439
SETHICONE,172
ODYCS,713
PESITONE,746
METRONIDAZOLE + NEOMYCIN SHLPHATE + NYSTATIN + POLYMYXIN B,210
LZCTORIDE,649
MESALAZINE [5-AMINOSALICYLICK ACID],114
OMEP,392
F ACID + HYDROCORTISONE,192
COLECALCUFEROL [VITAMIN D3],115
AZIASOL HFA,524
ILYMARIN [MILK THISTLE],403
AMI HYDROCHLORIDE,449
PYRIDODOXYLAMINE SUCCINATE,466
ZEVOSALBUTAMOL (ORAL),248
BRISTOFERON,509
EUALICYLATE + THYMOL + SODIUM FLUORIDE,328
NORETHISTEE,276
ZTLAX,821
FENRFIBRATE,252
MIST DT,673
NITROGL,17
URSODEOXYCHCID,460
CINNARPZINE,93
XOSTIL,752
NAZPA,675
NIGERLA SATIVA [BLACK SEED OIL],310
GENSULHN M30,616
NEBIVOIAZIDE,301
UROFLLUS,799
SYRUP PREPARATION],255
LUCOVIS EYE DROPS,623
TEM,481
SALBUTTION),416
NEPS,689
BICARBONATALYSIS SOLUTION],214
SOLCINATE,404
ENTECAVHR,82
INSULIN[FAST-ACTING],22
SYROPAM,758
KETRIXABAN,47
LURASIDONE HYDROCHLBRIDE,264
AOISTOPLEX,510
VIN,468
 ENHANCER],287
ACYCLOVIR + HYDROCOTISONE,475
DEXTRAN +HYPROMELLOSE,262
LAMOTURIGINE,239
RABEPRAZOLE + AMOXICILLIN + CCIN,357
DEXTROMETHORPHAN + PHWNYLEPHRINE + TRIPROLIDINE,316
FONDAPARINUX SOD,185
PRUDQX,742
NEOFLOXINOR SUSPENSION,690
CLOPIDOGREL + AVPIRIN,10
ENOXAWARIN SODIUM,105
BACOPA EXTRACT [NATURAL MEMORY ENHANGER],287
MULTIVITAMIN & MULTIMINERAL [A-Z TEEN BOYS PRJPARATION],170
FLOXACIN (INJECTION),444
BISOPROLOL HEMIFUMARATWE,53
BETIPRED,529
ARIN,509
MAM,274
FLUOCINOLONE AUINONE + TRETINOIN,273
SITAGLIPTIN +CHLORIDE,401
SALBER),415
OLME,716
ALCIUM LACTATE GLUCONATE + CALCIUM CARBONATE + VITAMIN C + VITAMIN D3,63
SODIUM CH SODIUM ACETATE,91
MOXIFLOC),231
NAPROGNESIUM,478
JEERAKADDA,341
NITROGPSULE),19
SODIUM CHLORIDE (INTROLUTION),406
INTUS,599
GEJSULIN R,618
GLUCOSAMINE SULPHAT+ DIACEREIN,431
EVENING PRIMROSPE OIL,149
CLOPRDOGREL BISULPHATE,9
VITMIN B COMPLEX,35
ADAPALENE + BENZOYL DPEROXIDE,184
BARICITILIB,38
SODIUM CHLORIDE (INTRAVENOUS SOLMTION),406
SALMETEROL + FLUTICASONE PROPGONATE,429
SODIUM ALGINATE + POTASBONATE,32
ACYC),472
ODEFOVIR DIPIVOXIL,26
EMONIUM INJECTI,585
NAPROXEN SOHDIUM,407
PROCYCLIDINE,343
L-ORNITHINE L-ASPIRTATE,216
POLYETHYLENE GLYCOL + PROPYLENE GIYCOL,319
NE HYDROCHLORIDE,138
ALMITRINE BISMESYLATE J RAUBASINE,448
MOXIFLOXACIN HYDNJECTION),232
DIABASIC SODIUM PHOSPHATE + PMONOBASIC SODIUM PHOSPHATE,11
FLUOCINOLONE ACETNONIDE + HYDROQUINONE + TRETINOIN,273
ATORVASTATIN SCALCIUM,27
ODYCIN EYE OPS,713
ESOMEESIUM TRIHYDRATE,307
DOXYCYCLINE UYDROCHLORIDE,132
MEBEVER,281
IR (INJECTION),472
DEXRBUPROFEN,480
OCUTREX EYE & EAR DROP,707
SILDENAFIL CITPRATE,469
GENT,199
CFRBIMAZOLE,79
GENTAMICIN SULFPHTHALMIC),198
SITAGLIPTIN + METFORMIN HCHLORIDE,401
LANIN,356
VDAGLIPTIN,468
PROCYCLWDINE HYDROCHLORIDE,343
AHLPHIN DS,498
SYMBION MAXVALER,764
KRIPEC,788
ANUSXAT,504
MOXIFLOXACIN HYLORIDE (OPHTHALMIC),231
AMLODI+ OLMESARTAN MEDOXOMIL,74
RANITIDINE HYDROCIDE,303
TIEMOE,315
BUPIVACAINE HYDROCHLOTROSE,12
MOXACIN HYDROCHLORIDE,230
ODESQN,708
GLYCERO LIQUID SUGAR,302
AMIIPTYLINE HYDROCHLORIDE,449
IBAIC ACID,267
TUL,791
SODIUM CHLORIDE +QDEXTROSE,225
BUATE,59
POVIDOPICAL),471
VILDAGLIPTIN + JETFORMIN HYDROCHLORIDE,467
EVO TSSEYE DROPS,593
BEXTTEEN HR,537
CALCIUM FOLINOLINIC ACID],182
NEOE + BACITRACIN ZINC + POLYMYXIN B SULFATE,299
IND,630
MEGAAOX,659
VITAMIN B & B12,304
FLUTICSONE FUROATE,33
ADAWIL,495
GLUCOSAMINE + CHONDROIT,112
EFACLOR MONOHYDRATE,259
LOMEFLOXACIN (OPHHALMIC),282
DEXTROMETHORPAN,569
STDIUM CHLORIDE (INTRAVENOUS SOLUTION),406
YHENOXYMETHYL PENICILLIN [PENICILLIN V],340
TAMSULOSINI HYDROCHLORIDE,271
DEXORIPE,567
HEPAG,626
EVENING PRIMRYSE OIL,149
EQONIUM INJECTION,585
POLYETHYLENE GLYCOL + PROOPYLENE GLYCOL,319
MELOX,274
CIPLOFLOXACIN (OPHTHALMIC),95
FEBUOSTAT,37
CALCIUM CARBONATAMIN D3,65
CARBONYL IRULFATE,487
CINAREX-D OPHTHALLMIC SUSPENSION,551
REOUR,744
LIFLOZIN HEMIHYDRATE,77
RITAXIDE,699
SALBQTAMOL + IPRATROPIUM (SOLUTION FOR INHALATION),413
MULTIVIXAMIN WITH L-LYSINE,265
IRON POLE COMPLEX + FOLIC ACID + ZINC + VITAMIN B-COMPLEX,489
TKIMEBUTINE MALEATE,432
MULTITION],170
MISA,665
PANTOPRAZOLE SODIUM JSESQUIHYDRATE,447
CFLOXACIN,96
EESONIDE,548
METRONIDAZOLE + NEOMYCIN SXIN B,210
DIPINC ACETATE,435
IIC ACID,267
BISTHIAZIDE,54
SOLIFENAC,404
MENTHOL +CUM,439
VITAMI3 + VITAMIN K1 + VITAMIN K2,130
FEBUXT,37
LIDOCCHLORIDE (SPRAY),249
FMAXSEED OIL [LINUM USITATISSIMUM],196
XETLRIL,813
LUCIDOL ECTION,657
PSEUHEDRINE + GUAIPHENASINE + TRIPROLIDINE,450
ALUTHICONE,146
FOLIC ACID + ZINC SULFATE MOOHYDRATE,488
CARBONYL IRONOMPLEX + VITAMIN C + ZINC,486
BISOPROLOL FUMARATE + AMLODIPIE BESILATE,52
NEOFLOXIN D EYE DROPS,689
CLOPIDOEL + ASPIRIN,10
ZIXIDE,117
EZEBTA,596
KNTACID MAX,503
JOU,234
COECZYME Q10 [UBIDECARENONE],80
CALCIUM LACTATE GLUCONATE + CALCIUM CANATE + VITAMIN D3,66
AMDOCAL PLMUS,500
AKISTOFERON,509
CLOBETASOL PROPIONATTERBINAFINE,109
CALCIUMN D3,65
ARBAZEPINE ACETATE,155
SUCRA,455
PARACETAOL + CAFFEINE,1
POTASSTE + CITRIC ACID,458
ORUCTIN,613
SALBUTAMONHALATION),413
LAN,741
AVERA,639
BRIMOLOL MALEATE,258
ACYCNE,475
CHLORHEXIDINE G%],200
ODYCIN EYES,713
VGSCOCID,806
EUCALYPTOL + MENTHODIUM FLUORIDE,328
AMLODIPATE + VALSARTAN,76
ALUMINIUM HYDROXIDNESIUM HYDROXIDE,145
VITO,807
CALCIUM CN D3,68
IRON ,118
CARBOXYMETHYLCELLUIUM,261
IRON POLYMALTOSE COMPN B COMPLEX + ZINC,49
JOONTEC MAX,640
NITROGLYCERIN (TABLE CAPSULE),19
CHLORHEXIDINE GLUCONATE + ISOPROPYL ALOHOL,201
CKLCIUM CARBONATE [ELEMENTAL SOURCE] + VITAMIN D3,65
TOBEX,730
RABEPRFZOLE SODIUM,359
MISOP,226
ZINC SULFATE MONOHATE,411
EUCALYPTOL + MENTHOL + METHYL SALICYLATE + THYMOL +OSODIUM FLUORIDE,328
TENOTE,354
DEXAMETHASONECSODIUM PHOSPHATE,125
SACCHARII,55
EBASTINRE,424
LEVOBLOXACIN (INJECTION),444
TOLFENWMIC ACID,436
PALONOSETRVN,336
TRANEXAMIC AD,187
DIPHENHYDRA ACETATE,435
TIOICAP,779
METRONIDAZOLE POLYMYXIN B,210
TRIAMCINOLONE ACETONIDE (NASAL PRETION),446
CBONATE + VITAMIN C + VITAMIN D3,63
VITAMIOMPLEX,35
PYRIDOXINE HYDROCHLORIDEJ+ DOXYLAMINE SUCCINATE,466
CALCIUM3 + MULTIMINERAL,67
OMKPRAZOLE,392
GALLIC OIL,195
PYRIDOXINEOCHLORIDE + DOXYLAMINE SUCCINATE,466
GUPHENHYDRAMINE,451
ETAPRO,527
CELORATE,541
BACOPARAL MEMORY ENHANCER],287
SODBUM VALPROATE,463
GECIN SULFATE (TOPICAL),199
INFLAVIS AR DROPS,631
AZSITHROCIN,521
ITROPIUM BROMIDE (INHALER),222
CEANIC ACID,87
NLOPIDOGREL BISULPHATE,9
VI + VITAMIN K2,130
CHLORHEXIDINE GLUCONATE Y CETRIMIDE,400
NIGL],310
ACIDIC COMPONENT [HCO3 HEMODIABYSIS SOLUTION],213
AREX,510
PANTUIHYDRATE,447
MOOVIT,669
SILVER SULFE,60
NIGELLAVSATIVA [BLACK SEED OIL],310
BEXTORAM SILVER,535
BECLOM (INHALER),39
CEFADROXIL MOFOHYDRATE,181
NEOMYCIN SULFATE + BAC+ POLYMYXIN B SULFATE,299
MICONAZOLE NITRATE (TOPNCAL),188
SASOLUTION FOR INHALATION),413
ACYCON),472
TENOFOVIR RATE,354
CALCIUM CARBONASE,62
